,title,author,language,pub_date,sales,genre,image,publisher,publish_place
0,A Tale of Two Cities,Charles Dickens,English,1859,>200 million,Historical fiction,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Tales_serial.jpg/250px-Tales_serial.jpg,London: Chapman & Hall,England
1,The Little Prince,Antoine de Saint-Exupéry,French,1943,200 million,Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Littleprince.JPG/250px-Littleprince.JPG,Reynal & Hitchcock (U.S.) Gallimard (France) [ 7 ],France
2,The Alchemist,Paulo Coelho,Portuguese,1988,150 million,Fantasy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/TheAlchemist.jpg/250px-TheAlchemist.jpg,HarperTorch (English translation) Originally a novel written in Portuguese,Brazil
3,Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120 million,Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Harry_Potter_and_the_Philosopher%27s_Stone_Book_Cover.jpg/250px-Harry_Potter_and_the_Philosopher%27s_Stone_Book_Cover.jpg,Bloomsbury (UK) Scholastic (US),United Kingdom
4,And Then There Were None,Agatha Christie,English,1939,100 million,Mystery,https://upload.wikimedia.org/wikipedia/en/thumb/2/26/And_Then_There_Were_None_US_First_Edition_Cover_1940.jpg/250px-And_Then_There_Were_None_US_First_Edition_Cover_1940.jpg,Collins Crime Club,United Kingdom
5,Dream of the Red Chamber,Cao Xueqin,Chinese,1791,100 million,Family saga,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Hongloumeng2.jpg/250px-Hongloumeng2.jpg,Collins Crime Club,China
6,The Hobbit,J. R. R. Tolkien,English,1937,100 million,Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/TheHobbit_FirstEdition.jpg/250px-TheHobbit_FirstEdition.jpg,George Allen & Unwin (UK),United Kingdom
7,Alice's Adventures in Wonderland,Lewis Carroll,"English
","1865
",100 million,Fantasy,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Alice%27s_Adventures_in_Wonderland_cover_%281865%29.jpg/250px-Alice%27s_Adventures_in_Wonderland_cover_%281865%29.jpg,Macmillan,United Kingdom
8,She: A History of Adventure,H. Rider Haggard,English,1887,83 million,Adventure,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/SHE%2C_A_History_of_Adventure_%281st_Edition_Cover%29%2C_by_H._Rider_Haggard.jpg/250px-SHE%2C_A_History_of_Adventure_%281st_Edition_Cover%29%2C_by_H._Rider_Haggard.jpg,Longmans,United Kingdom
9,The Da Vinci Code,Dan Brown,English,2003,80 million,Mystery,https://upload.wikimedia.org/wikipedia/en/6/6b/DaVinciCode.jpg,Doubleday (US),United States
10,Harry Potter and the Chamber of Secrets,J. K. Rowling,"English
","1998
",77 million,Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/Harry_Potter_and_the_Chamber_of_Secrets.jpg/250px-Harry_Potter_and_the_Chamber_of_Secrets.jpg,Bloomsbury (UK),United Kingdom
11,The Catcher in the Rye,J. D. Salinger,English,1951,65 million,Coming-of-age,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/The_Catcher_in_the_Rye_%281951%2C_first_edition_cover%29.jpg/250px-The_Catcher_in_the_Rye_%281951%2C_first_edition_cover%29.jpg,"Little, Brown and Company",United States
12,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,"English
","1999
",65 million,Fantasy,https://upload.wikimedia.org/wikipedia/en/a/a0/Harry_Potter_and_the_Prisoner_of_Azkaban.jpg,Bloomsbury (UK),United Kingdom
13,Harry Potter and the Goblet of Fire,J. K. Rowling,"English
","2000
",65 million,Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Harry_Potter_and_the_Goblet_of_Fire_cover.png/250px-Harry_Potter_and_the_Goblet_of_Fire_cover.png,Bloomsbury (UK),United Kingdom
14,Harry Potter and the Half-Blood Prince,J. K. Rowling,"English
","2005
",65 million,Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Harry_Potter_and_the_Half-Blood_Prince_cover.png/250px-Harry_Potter_and_the_Half-Blood_Prince_cover.png,Bloomsbury (UK),United Kingdom
15,Harry Potter and the Deathly Hallows,J. K. Rowling,"English
","2007
",65 million,Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Harry_Potter_and_the_Deathly_Hallows.jpg/250px-Harry_Potter_and_the_Deathly_Hallows.jpg,Bloomsbury (UK),United Kingdom
16,The Bridges of Madison County,Robert James Waller,English,1992,60 million,Romance,https://upload.wikimedia.org/wikipedia/en/c/c8/BridgesOfMadisonCounty.jpg,"Warner Books , Inc.",United States
